Bauwerk,Bauwerkbezeichnung,Ebene,Raumnr,Nutzungsartbez.,Nutzername,Kostentraeger,GueltigVon,GueltigBis
151.02,Luftpostleitstelle,G5,731,FLUR,F-RE,F-RE,04/04/01,31/12/99
151.02,Luftpostleitstelle,G6,721,FLUR,F-PT-K,F-PT-K,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,741,FLUR,F-RE,F-RE,04/04/01,31/12/99
151.02,Luftpostleitstelle,G6,731,FLUR,F-RE,F-RE,17/05/92,31/12/99
151.02,Luftpostleitstelle,G5,213,VORRAUM ZU SANITÄRRAUM,F-UE,F-PT-K,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,215,TOILETTE,F-UE,F-PT-K,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,217,PUTZRAUM,F-UE,F-PT-K,15/02/01,31/12/99
151.02,Luftpostleitstelle,G6,607,TREPPE,F-RE,F-RE,13/02/01,31/12/99
151.02,Luftpostleitstelle,G6,840,INSTALLATIONSSCHACHT,F-TEGF,F-RE,13/02/01,31/12/99
151.02,Luftpostleitstelle,G6,841,AUFZUGSSCHACHT,F-RE,F-RE,13/02/01,31/12/99
151.02,Luftpostleitstelle,G6,842,AUFZUGSSCHACHT,F-RE,F-RE,13/02/01,31/12/99
151.02,Luftpostleitstelle,G6,843,INSTALLATIONSSCHACHT,F-TEGF,F-RE,13/02/01,31/12/99
151.02,Luftpostleitstelle,G6,836,INSTALLATIONSSCHACHT,F-TEGF,F-RE,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,606,TREPPE,F-RE,F-RE,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,839,INSTALLATIONSSCHACHT,F-TEGF,F-RE,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,812,INSTALLATIONSSCHACHT,F-TEGF,F-RE,13/02/01,31/12/99
151.02,Luftpostleitstelle,G6,815,INSTALLATIONSSCHACHT,F-TEGF,F-RE,13/02/01,31/12/99
151.02,Luftpostleitstelle,G6,814,INSTALLATIONSSCHACHT,F-TEGF,F-RE,13/02/01,31/12/99
151.02,Luftpostleitstelle,G6,810,INSTALLATIONSSCHACHT,F-TEGF,F-RE,13/02/01,31/12/99
151.02,Luftpostleitstelle,G6,603,TREPPE,F-RE,F-RE,13/02/01,31/12/99
151.02,Luftpostleitstelle,G6,801,AUFZUGSSCHACHT,F-RE,F-RE,13/02/01,31/12/99
151.02,Luftpostleitstelle,G6,802,AUFZUGSSCHACHT,F-RE,F-RE,13/02/01,31/12/99
151.02,Luftpostleitstelle,G6,803,INSTALLATIONSSCHACHT,F-TEGF,F-RE,13/02/01,31/12/99
151.02,Luftpostleitstelle,G6,824,INSTALLATIONSSCHACHT,F-TEGF,F-RE,13/02/01,31/12/99
151.02,Luftpostleitstelle,G6,825,INSTALLATIONSSCHACHT,F-TEGF,F-RE,13/02/01,31/12/99
151.02,Luftpostleitstelle,G6,820,INSTALLATIONSSCHACHT,F-TEGF,F-RE,13/02/01,31/12/99
151.02,Luftpostleitstelle,G6,822,INSTALLATIONSSCHACHT,F-TEGF,F-RE,13/02/01,31/12/99
151.02,Luftpostleitstelle,G6,711,FLUR,F-IT,F-IT,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,602,TREPPE,F-RE,F-RE,13/02/01,31/12/99
151.02,Luftpostleitstelle,G6,604,TREPPE,F-RE,F-RE,13/02/01,31/12/99
151.02,Luftpostleitstelle,G6,846,INSTALLATIONSSCHACHT,F-TEGF,F-RE,13/02/01,31/12/99
151.02,Luftpostleitstelle,G6,849,INSTALLATIONSSCHACHT,F-TEGF,F-RE,13/02/01,31/12/99
151.02,Luftpostleitstelle,G6,610,TREPPE,F-RE,F-RE,13/02/01,31/12/99
151.02,Luftpostleitstelle,G5,100,BÜRORAUM,F-ITS,F-ITS,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,101,VERVIELFÄLTIGUNGSRAUM,F-ITS,F-ITS,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,722,FLUR,F-UE,F-PT-K,06/04/01,31/12/99
151.02,Luftpostleitstelle,G5,113,VORRAUM ZU SANITÄRRAUM,F-ITS,F-ITS,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,114,BÜRORAUM,F-ITS,F-ITS,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,115,TOILETTE,F-ITS,F-ITS,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,117,PUTZRAUM,F-ITS,F-ITS,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,119,VORRAUM ZU SANITÄRRAUM,F-ITS,F-ITS,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,333,VORRAUM ZU SANITÄRRAUM,F-RE,F-RE,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,337,PUTZRAUM,F-RE,F-RE,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,341,TOILETTE,F-RE,F-RE,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,346,ELT-VERTEILUNG,F-TEGF,F-RE,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,335,TOILETTE,F-RE,F-RE,15/02/01,31/12/99
